speciesCode,comName,sciName,locId,locName,obsDt,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,howMany,date_requested
eurrob1,European Robin,Erithacus rubecula,L8069121,"The Serpentine, London GB-England (51.5092,-0.1758)",2017-01-01 22:25,51.509165,-0.175835,TRUE,FALSE,TRUE,S49425705,NA,NA,2017-01-01
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2017-01-02 11:48,51.4774486,-0.235101,TRUE,FALSE,FALSE,S33426390,NA,2,2017-01-02
eurrob1,European Robin,Erithacus rubecula,L3331169,East India Dock Basin,2017-01-03 13:50,51.5091965,0.0030899,TRUE,FALSE,FALSE,S33420053,NA,1,2017-01-03
eurrob1,European Robin,Erithacus rubecula,L2083779,Walthamstow Wetlands,2017-01-04 12:25,51.5856349,-0.0539798,TRUE,FALSE,FALSE,S33430873,NA,NA,2017-01-04
eurrob1,European Robin,Erithacus rubecula,L5292216,GB-England-Carshalton-The Grove - 51.3662x-0.1636,2017-01-05 14:01,51.366211,-0.163637,TRUE,FALSE,TRUE,S33881951,NA,2,2017-01-05
eurrob1,European Robin,Erithacus rubecula,L5227298,Ruislip Lido,2017-01-06 11:15,51.5906053,-0.4302478,TRUE,FALSE,FALSE,S33478966,NA,11,2017-01-06
eurrob1,European Robin,Erithacus rubecula,L5245836,Crystal Palace,2017-01-07 11:22,51.4132066,-0.0781488,TRUE,FALSE,TRUE,S33595479,NA,NA,2017-01-07
eurrob1,European Robin,Erithacus rubecula,L5037475,103 Pembury Avenue,2017-01-08 14:55,51.3844773,-0.2430511,TRUE,FALSE,TRUE,S33531563,NA,2,2017-01-08
eurrob1,European Robin,Erithacus rubecula,L5227298,Ruislip Lido,2017-01-09 13:50,51.5906053,-0.4302478,TRUE,FALSE,FALSE,S33561283,NA,6,2017-01-09
eurrob1,European Robin,Erithacus rubecula,L956644,Kew Royal Botanic Gardens,2017-01-10 15:00,51.4787636,-0.2956009,TRUE,FALSE,FALSE,S33588353,NA,2,2017-01-10
eurrob1,European Robin,Erithacus rubecula,L3797797,Greenwich Peninsula,2017-01-11 11:15,51.4979956,0.0055361,TRUE,FALSE,FALSE,S33596973,NA,NA,2017-01-11
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2017-01-12 06:41,51.595709,-0.1394567,TRUE,FALSE,TRUE,S33613922,NA,1,2017-01-12
eurrob1,European Robin,Erithacus rubecula,L10923860,Rainham Marshes,2017-01-13 14:00,51.4936103,0.2097663,TRUE,FALSE,TRUE,S65573146,NA,NA,2017-01-13
eurrob1,European Robin,Erithacus rubecula,L5260310,"The Rookery, Streatham",2017-01-14 15:15,51.4212893,-0.1179743,TRUE,FALSE,TRUE,S33681111,NA,3,2017-01-14
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2017-01-15 13:42,51.4774486,-0.235101,TRUE,FALSE,FALSE,S33687024,NA,2,2017-01-15
eurrob1,European Robin,Erithacus rubecula,L5266959,Chiswick House and Gardens,2017-01-16 15:30,51.4837882,-0.2586079,TRUE,FALSE,FALSE,S33719810,NA,5,2017-01-16
