speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2019-01-01 16:40,1,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S51158559,NA,2019-01-01
eurrob1,European Robin,Erithacus rubecula,L8349698,"Station Road, London GB-England (51.5596,-0.1357)",2019-01-02 15:57,1,51.559568,-0.135687,TRUE,FALSE,TRUE,S51212293,NA,2019-01-02
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2019-01-03 15:30,3,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S51252678,NA,2019-01-03
eurrob1,European Robin,Erithacus rubecula,L5037475,103 Pembury Avenue,2019-01-04 14:55,2,51.3844773,-0.2430511,TRUE,FALSE,TRUE,S51295870,NA,2019-01-04
eurrob1,European Robin,Erithacus rubecula,L1800098,Battersea Park,2019-01-05 15:30,2,51.4802877,-0.1552555,TRUE,FALSE,FALSE,S51333038,NA,2019-01-05
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2019-01-06 15:56,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S51422734,NA,2019-01-06
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2019-01-07 14:10,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S51430519,NA,2019-01-07
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2019-01-08 14:37,1,51.594753,-0.140426,TRUE,FALSE,TRUE,S51460942,NA,2019-01-08
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2019-01-09 13:48,3,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S51493138,NA,2019-01-09
eurrob1,European Robin,Erithacus rubecula,L12105664,Forty Hall Country Park,2019-01-10 14:30,1,51.670668,-0.0663402,TRUE,FALSE,FALSE,S51519928,NA,2019-01-10
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2019-01-11 16:03,1,51.594753,-0.140426,TRUE,FALSE,TRUE,S51553600,NA,2019-01-11
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2019-01-12 15:33,3,51.594753,-0.140426,TRUE,FALSE,TRUE,S51586566,NA,2019-01-12
eurrob1,European Robin,Erithacus rubecula,L6854669,O R Tambo Recreation Ground (formerly Durnsford Park),2019-01-13 14:40,2,51.601876,-0.132875,TRUE,FALSE,FALSE,S51626213,NA,2019-01-13
eurrob1,European Robin,Erithacus rubecula,L8364196,"Aubrey Road, London GB-England (51.5807,-0.1195)",2019-01-14 15:48,4,51.580689,-0.119538,TRUE,FALSE,TRUE,S51668343,NA,2019-01-14
eurrob1,European Robin,Erithacus rubecula,L6869251,ZSL Woodland Walk,2019-01-15 14:48,5,51.5368197,-0.1543021,TRUE,FALSE,FALSE,S51700656,NA,2019-01-15
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2019-01-16 13:00,1,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S129225406,NA,2019-01-16
eurrob1,European Robin,Erithacus rubecula,L6730902,Feltham Centre,2019-01-17 13:27,1,51.4507501,-0.4068429,TRUE,FALSE,TRUE,S51757767,NA,2019-01-17
eurrob1,European Robin,Erithacus rubecula,L6869251,ZSL Woodland Walk,2019-01-18 15:19,3,51.5368197,-0.1543021,TRUE,FALSE,FALSE,S51792982,NA,2019-01-18
eurrob1,European Robin,Erithacus rubecula,L8456252,"Parkland Walk, London GB-England (51.5731,-0.1118)",2019-01-19 14:58,5,51.573098,-0.111845,TRUE,FALSE,TRUE,S51824111,NA,2019-01-19
eurrob1,European Robin,Erithacus rubecula,L1066696,Greenwich Park,2019-01-20 15:00,1,51.4774807,-0.0006008,TRUE,FALSE,FALSE,S52009852,NA,2019-01-20
